graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
dense_random,102,100,3447,0.696364,True,0.696107,0.003098,0.696364,1.303636,0.834174,0.047598
dense_random,102,100,4457,0.900404,True,0.900587,0.001016,0.900404,1.099596,0.932898,0.015015
powerlaw,102,100,291,0.058788,False,0.134381,0.01571,0.058788,2.539596,2.353416,0.33896
powerlaw,102,100,475,0.09596,False,0.201116,0.012496,0.09596,2.224646,1.927129,0.249394
complete,102,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,102,100,517,0.104444,False,0.65222,0.026982,0.104444,3.644242,3.378083,0.622282
unit_disk,102,100,1066,0.215354,False,0.682366,0.013807,0.215354,2.353131,2.026721,0.438942
grid_2d,102,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,102,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,103,100,3446,0.696162,True,0.697398,0.0031,0.696162,1.303838,0.835891,0.047326
dense_random,103,100,4466,0.902222,True,0.902347,0.000998,0.902222,1.097778,0.933964,0.014758
powerlaw,103,100,291,0.058788,False,0.164733,0.016838,0.058788,2.650101,2.764664,0.380693
powerlaw,103,100,475,0.09596,False,0.176492,0.012777,0.09596,2.252121,1.670548,0.25378
complete,103,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,103,100,513,0.103636,False,0.621425,0.028192,0.103636,3.762828,3.151938,0.601017
unit_disk,103,100,1120,0.226263,False,0.690947,0.013465,0.226263,2.319596,1.950005,0.45139
grid_2d,103,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,103,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,104,100,3469,0.700808,True,0.702147,0.003053,0.700808,1.299192,0.837677,0.042037
dense_random,104,100,4460,0.90101,True,0.901189,0.00101,0.90101,1.09899,0.933268,0.017933
